"tract","Name","Household_Income_rP_gP_pall"
51059491405,"Clifton, VA",80732
51059481600,"Oakton, VA",78827
51059460200,"Vienna, VA",78413
51059481701,"Oakton, VA",77752
51059460501,"Tysons, VA",76036
51059431900,"Burke, VA",75924
51059491403,"Clifton, VA",75868
51059492000,"Fairfax, VA",75574
51059482602,"Fairfax, VA",75080
51059481500,"Reston, VA",74876
51059482504,"Herndon, VA",74209
51059491502,"Chantilly, VA",73921
51059430101,"Fairfax, VA",73900
51059461100,"Vienna, VA",73386
51059440300,"Annandale, VA",72317
51059490502,"Fairfax, VA",71440
51059461201,"Oakton, VA",71365
51059460900,"Vienna, VA",71025
51059471304,"Falls Church, VA",70933
51059482503,"Chantilly Highlands, Herndon, VA",70569
51059490101,"Centreville, VA",70028
51059482601,"Fairfax, VA",68986
51059492500,"Clifton, VA",68024
51059440701,"Annandale, VA",68007
51059491705,"Fairfax, VA",67997
51059430203,"Fairfax, VA",67464
51059432100,"Burke, VA",67145
51059440501,"Fairfax, VA",67125
51059491701,"Fairfax, VA",66950
51059430201,"Fairfax, VA",66825
51059440800,"Annandale, VA",66756
51059460600,"Vienna, VA",66483
51059460800,"Vienna, VA",66448
51059460702,"Vienna, VA",66333
51059461500,"Vienna, VA",65739
51059440502,"Fairfax, VA",65700
51059432202,"Burke, VA",65324
51059430202,"Fairfax, VA",65205
51059440100,"Fairfax, VA",64883
51059440702,"Annandale, VA",64861
51059490501,"Clifton, VA",64803
51059432000,"Burke, VA",64535
51059431802,"Burke, VA",64511
51059482502,"Herndon, VA",64347
51059430500,"Springfield, VA",64225
51059461000,"Vienna, VA",63802
51059471303,"Falls Church, VA",63561
51059450601,"Falls Church, VA",63401
51059491404,"Centreville, VA",63351
51059491802,"Fairfax, VA",63159
51059461202,"Fairfax, VA",61745
51059481702,"Fairfax, VA",61707
51059471401,"Falls Church, VA",61519
51059430400,"Springfield, VA",61479
51059460701,"Vienna, VA",61459
51059430102,"Fairfax, VA",61183
51059490103,"Chantilly, VA",60741
51059460502,"Vienna, VA",60515
51059491803,"Fairfax, VA",60457
51059491302,"Centreville, VA",60374
51059491703,"Fairfax, VA",60279
51059482501,"Herndon, VA",60052
51059450701,"Annandale, VA",59513
51059491801,"Fairfax, VA",59277
51059491704,"Fairfax, VA",58669
51600300200,"Fairfax, VA",58611
51059491301,"Centreville, VA",58130
51059440202,"Annandale, VA",58016
51059440600,"Fairfax, VA",57694
51600300500,"Fairfax, VA",57535
51059430902,"Burke, VA",57499
51059452400,"Springfield, VA",56912
51059430802,"West Springfield, VA",56748
51059491201,"Centreville, VA",56718
51059491602,"Chantilly, VA",56584
51059431801,"Burke, VA",56332
51059491401,"Centreville, VA",56326
51059452102,"Annandale, VA",56316
51059491501,"Centreville, VA",56256
51059491402,"Centreville, VA",55995
51600300400,"Fairfax, VA",54077
51059491202,"Centreville, VA",54073
51059471100,"Falls Church, VA",53523
51600300300,"Fairfax, VA",53264
51059461601,"Fairfax, VA",52989
51600300100,"Fairfax, VA",52925
51059461700,"Fairfax, VA",52580
51059491702,"Fairfax, VA",52297
51059450100,"Falls Church, VA",52174
51059452200,"Annandale, VA",52115
51059450702,"Annandale, VA",51926
51059491601,"Chantilly, VA",51648
51059461602,"Vienna, VA",51381
51059471402,"Falls Church, VA",51191
51059461901,"Fairfax, VA",51149
51059452302,"Annandale, VA",50280
51059461802,"Oakton, VA",49619
51059440201,"Falls Church, VA",49382
51059452301,"Annandale, VA",49293
51059450602,"Falls Church, VA",47907
51059491303,"Centreville, VA",47389
51059432201,"Burke, VA",47068
51059471301,"Falls Church, VA",46121
51059461801,"Oakton, VA",43831
51059461902,"Fairfax, VA",43044
51153901900,"Manassas, VA",42066
51059980200,"Herndon, VA",